year,day,northern_hemisphere_area
2006,1,13034723.95
2006,90,13913402.38
2006,180,10137813.1
2006,270,5849376.08
2007,1,12991511.65
2007,90,14222915.93
2007,180,9743747.63
2007,270,4023569.49
2008,1,13223374.5
2008,90,15227495.69
2008,180,10336832.21
2008,270,4402167.29
2009,1,13148324.95
2009,180,10213732.92
2009,270,5159065.73
2010,1,13150849.7
2010,90,15157156.25
2010,180,9335550.75
2010,270,4948504.77
2011,1,12897837.93
2011,90,14664859.46
2011,180,9461605.23
2011,270,4473357.22
2012,1,13570792.67
2012,90,15493103.77
2012,180,9722319.32
2012,270,3711409.88
2013,1,13492252.13
2013,90,15101327.22
2013,180,10305873.79
2013,270,5455844.1
2014,1,13397108.6
2014,90,14783331.04
2014,180,10181637.01
2014,270,5498604.72
2015,1,13458792.51
2015,90,14560641.76
2015,180,10349407.27
2015,270,5004421.54
2016,1,13095244.88
2016,90,14634587.76
2016,180,9819537.36
2016,270,4889040.83
2017,1,12857417.74
2017,90,14228991.94
